# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,1.996193650827292092e-06,1.898125188125387086e-03,5.540544980049133539e-01,-5.268350582226562437e+02,5.861830691367179384e-04,6.164687809600229954e-07,1.705949807579131630e+03,1.794089344487718396e+00,-1.051665961399921283e-03
1.888121750000000000e+06,5.296268633100592834e-07,2.460304480728010974e-06,1.797359172780940489e-03,7.615848549270630707e-01,-5.563707807617188337e+02,5.844171019606084119e-04,7.999758959379712307e-07,1.711103461747722577e+03,2.342233860477380247e+00,-1.368844089699298690e-03
1.782501875000000000e+06,5.610092275499009038e-07,2.889675452638836423e-06,1.696039260953932171e-03,1.004560286941528435e+00,-5.896072810156250625e+02,5.846843113879239377e-04,9.961726364815661155e-07,1.710319701879813465e+03,2.914006162750563789e+00,-1.703778632467238497e-03
1.682790250000000000e+06,5.942511254744909383e-07,3.227601748788869112e-06,1.603388389458806863e-03,1.255453736038208090e+00,-6.236766802539062837e+02,5.838726068743172208e-04,1.175328609965513282e-06,1.712695434109622965e+03,3.447635528994174248e+00,-2.012988100704835807e-03
1.588656500000000000e+06,6.294626937918927447e-07,3.494666596614708888e-06,1.519675409149931228e-03,1.513218981513977157e+00,-6.580317782226562713e+02,5.815746645723061069e-04,1.337397145127933333e-06,1.719460583001109626e+03,3.954095346565411617e+00,-2.299613835673987305e-03
1.499788375000000000e+06,6.667607354937658813e-07,3.767484780986767323e-06,1.435888236201900668e-03,1.827289008483886867e+00,-6.964282389843750707e+02,5.810787092393367029e-04,1.524634813782826318e-06,1.720925409615359513e+03,4.515365560128198119e+00,-2.623800854412056214e-03
1.415891625000000000e+06,7.062687442621181909e-07,3.906469725409898693e-06,1.360861649999510915e-03,2.109370816497802892e+00,-7.348225000000001046e+02,5.788167176431433794e-04,1.661542879127265961e-06,1.727648371799946290e+03,4.959362372062304125e+00,-2.870585503979263854e-03
1.336687875000000000e+06,7.481178057368104391e-07,4.000704845352320155e-06,1.285587220192066114e-03,2.420634469604492356e+00,-7.778471192382812660e+02,5.784327361359325190e-04,1.800063514806637445e-06,1.728792741635130142e+03,5.379945747310929782e+00,-3.111966875926641847e-03
1.261914750000000000e+06,7.924465578994143479e-07,4.090614903055609213e-06,1.210055866744357955e-03,2.793655114059448330e+00,-8.263986810156251295e+02,5.801606105349500992e-04,1.961243034179250805e-06,1.723640926450857705e+03,5.826798129764391376e+00,-3.380517392193935298e-03
1.191324250000000000e+06,8.394020351722043748e-07,4.136939142934175746e-06,1.143843778740084860e-03,3.161840969772339083e+00,-8.742338230468750453e+02,5.794102774921474621e-04,2.095552820522253258e-06,1.725870179563532020e+03,6.241953695218363407e+00,-3.616699430311112826e-03
1.124682625000000000e+06,8.891397250846655899e-07,4.189024255562143198e-06,1.077421520345707559e-03,3.608569036407470954e+00,-9.281278169531250342e+02,5.807194638226170812e-04,2.257842333471706235e-06,1.721975835000129337e+03,6.695057045076365121e+00,-3.888008710108212338e-03
1.061768875000000000e+06,9.418245566861243833e-07,4.202244891095318816e-06,1.020384066792698373e-03,4.035958157653809053e+00,-9.800065215234376410e+02,5.788786912728765156e-04,2.383994519447543922e-06,1.727448349699352093e+03,7.114145779414561943e+00,-4.118297244981431772e-03
1.002374437500000000e+06,9.976311870981846032e-07,4.197661747538528195e-06,9.632248879983538233e-04,4.524220892791748660e+00,-1.038159438476562627e+03,5.789254566943043264e-04,2.522913677294960988e-06,1.727305298614723824e+03,7.527466813469661844e+00,-4.357924924740629556e-03
9.463025000000000000e+05,1.056744539933055151e-06,4.205062397749610237e-06,9.117273806317350952e-04,5.058633445892334102e+00,-1.096795763046875209e+03,5.774100770124144470e-04,2.663126560095431563e-06,1.731834562542996764e+03,7.987554780933180609e+00,-4.612192731160411931e-03
8.933671875000000000e+05,1.119360565277085465e-06,4.228500248761765838e-06,8.611110668806650848e-04,5.702398277893067302e+00,-1.161262380507812622e+03,5.771503479129288421e-04,2.834106404605025513e-06,1.732609000451167731e+03,8.508005379554527181e+00,-4.910516670142577901e-03
8.433930000000000000e+05,1.185686862470995129e-06,4.235161440760735969e-06,8.132948344508424045e-04,6.402685434875488468e+00,-1.229533056445312695e+03,5.768977019369521831e-04,3.004144129547568315e-06,1.733362570584158220e+03,9.026333392062934280e+00,-5.207412197103680404e-03
7.962143125000000000e+05,1.255943260879274967e-06,4.235620352270450710e-06,7.682961921589702859e-04,7.175405770874023759e+00,-1.301541798476562690e+03,5.765230922321335069e-04,3.178374392498682808e-06,1.734483182336518439e+03,9.562213561323062549e+00,-5.513004483815073242e-03
7.516748125000000000e+05,1.330362522956028934e-06,4.211001266996282840e-06,7.261220740055205139e-04,7.986407892456055535e+00,-1.377132585585937704e+03,5.758831347348140331e-04,3.339720271321286718e-06,1.736405025451415895e+03,1.006993730662846076e+01,-5.799302097741028915e-03
7.096267500000000000e+05,1.409191522162883532e-06,4.206613322746642953e-06,6.858308306088667459e-04,8.942979720764160589e+00,-1.458030662539062632e+03,5.756059081763129906e-04,3.530537523133120303e-06,1.737234392729799765e+03,1.065550426583049237e+01,-6.133601954015535651e-03
6.699308750000000000e+05,1.492691316846682028e-06,4.177624380733663896e-06,6.474162491914022639e-04,9.966533146972656354e+00,-1.544537018984375209e+03,5.756478974429634623e-04,3.714520131490905188e-06,1.737100696467343823e+03,1.120910114692835968e+01,-6.452764177530846516e-03
6.324555625000000000e+05,1.581138753918383044e-06,4.180312458266044266e-06,6.109241319734467048e-04,1.119989238677978705e+01,-1.636787824570312750e+03,5.759052131748469520e-04,3.940691832942381156e-06,1.736315556926092540e+03,1.188092133576869003e+01,-6.842604898848124798e-03
5.970765000000000000e+05,1.674827262503213635e-06,4.155061125312394799e-06,5.772717305546525490e-04,1.246792948364258002e+01,-1.732196714414062626e+03,5.753813704368060389e-04,4.141454774225431595e-06,1.737887680012596775e+03,1.250889166604711100e+01,-7.197756109276545744e-03
5.636765625000000000e+05,1.774067020925674973e-06,4.128438499806942179e-06,5.455203461100022796e-04,1.387199874481201256e+01,-1.833007214921875175e+03,5.748079408451863600e-04,4.350083823457428653e-06,1.739611893384799941e+03,1.316519313456304197e+01,-7.567890967304923520e-03
5.321450000000000000e+05,1.879187063676253656e-06,4.107972651326727176e-06,5.147198853233985382e-04,1.550450794921875186e+01,-1.942680546093750081e+03,5.751220048312316200e-04,4.590041174606037419e-06,1.738650754979895964e+03,1.387614886333457420e+01,-7.980986879389140309e-03
5.023772812500000000e+05,1.990535872784354564e-06,4.067870894646626781e-06,4.858196587310793053e-04,1.723401807617187487e+01,-2.058232671875000051e+03,5.752452834977885574e-04,4.816650590335000364e-06,1.738267001789879487e+03,1.455487775479216239e+01,-8.373211790711739336e-03
4.742747500000000000e+05,2.108482477719929384e-06,4.022912817469374272e-06,4.588257130648184536e-04,1.910784630126953232e+01,-2.179309272187500028e+03,5.750127542976374425e-04,5.041622807101796818e-06,1.738958176713105104e+03,1.524691607062144172e+01,-8.767845181556021758e-03
4.477442187500000000e+05,2.233418005466988388e-06,3.968232261596628410e-06,4.337583088962433989e-04,2.108944364196777599e+01,-2.305238405078125197e+03,5.742148776407458594e-04,5.253197358549786958e-06,1.741362599829663168e+03,1.593083315306538417e+01,-9.148487026552486190e-03
4.226978125000000000e+05,2.365756269438938768e-06,3.939015516821058533e-06,4.096661573475442186e-04,2.346860987976074497e+01,-2.440786330156250187e+03,5.739689117777286263e-04,5.518816746552333215e-06,1.742093580790910437e+03,1.675055047485457393e+01,-9.615184086293358454e-03
3.990524687500000000e+05,2.505936131988909165e-06,3.904957944372609583e-06,3.865130475758374795e-04,2.613627650634765942e+01,-2.586970725078125270e+03,5.743149525666897291e-04,5.802328668237880451e-06,1.741027174150252904e+03,1.758967242556713018e+01,-1.010304301203808833e-02
3.767298125000000000e+05,2.654422259188738750e-06,3.867206001118499979e-06,3.652726012336390284e-04,2.898107131591797270e+01,-2.737374554921875188e+03,5.737105323327389324e-04,6.073975452987615102e-06,1.742843939366928680e+03,1.845179878964350095e+01,-1.058717787224594531e-02
3.556558750000000000e+05,2.811706681353148047e-06,3.834318813821168189e-06,3.450128288727014416e-04,3.220802506347656902e+01,-2.898085000000000491e+03,5.734158768236223601e-04,6.372688493446747692e-06,1.743719601386440672e+03,1.937892250404313188e+01,-1.111355431723933668e-02
