# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,9.933217518719168846e-05,1.903782117853071833e-03,2.733221072143555119e+01,-5.238441010156250286e+02,5.828551803641123874e-04,3.041118641768778192e-05,1.711034002362913952e+03,8.927530502577805294e+01,-5.217623080692149196e-02
1.888121750000000000e+06,5.296268633100592834e-07,9.985131808207584579e-05,1.803380099143524597e-03,3.060905108886719006e+01,-5.528194784765626082e+02,5.806867806327420042e-04,3.215203520686179910e-05,1.716835442365712652e+03,9.505942864272275017e+01,-5.536898079861145294e-02
1.782501875000000000e+06,5.610092275499009038e-07,1.002861607608952185e-04,1.702438437628119852e-03,3.448210312622070717e+01,-5.853615027929688495e+02,5.804739836047536055e-04,3.419419225426330230e-05,1.716772758830580869e+03,1.011305578378968022e+02,-5.890736401641426256e-02
1.682790250000000000e+06,5.942511254744909383e-07,1.006369056882527646e-04,1.610165355058198761e-03,3.866545349365235040e+01,-6.186375984765625162e+02,5.791551275990094094e-04,3.619776054176923044e-05,1.719934402606279036e+03,1.074975782588572883e+02,-6.250097567439914792e-02
1.588656500000000000e+06,6.294626937918927447e-07,1.008659007250838242e-04,1.526827088901941279e-03,4.307977384765625573e+01,-6.521070572070312892e+02,5.763383405050196036e-04,3.807430864961054408e-05,1.727552463255134398e+03,1.141263058028291795e+02,-6.606242544309601228e-02
1.499788375000000000e+06,6.667607354937658813e-07,1.010739297827862308e-04,1.443440020347061320e-03,4.827446083496094076e+01,-6.894091174609375230e+02,5.752221660285370720e-04,4.027875353261396090e-05,1.729976293169997007e+03,1.211380451677561041e+02,-7.002295097685042047e-02
1.415891625000000000e+06,7.062687442621181909e-07,1.011398803042797565e-04,1.368772376073403626e-03,5.369022565795899027e+01,-7.266144425390625656e+02,5.723512639073551934e-04,4.229157406701549408e-05,1.737691239141619917e+03,1.283996426321464526e+02,-7.389094203845614217e-02
1.336687875000000000e+06,7.481178057368104391e-07,1.011218035556409956e-04,1.293961518883842516e-03,6.002854253173828880e+01,-7.681293384765625660e+02,5.712062743079647899e-04,4.463920125703890431e-05,1.740054075418819366e+03,1.359834924167399777e+02,-7.814900372220309754e-02
1.261914750000000000e+06,7.924465578994143479e-07,1.010380743963673665e-04,1.218920237482232520e-03,6.753993772216797709e+01,-8.147997417773437974e+02,5.720177518583499611e-04,4.741538485544196134e-05,1.736267609739573572e+03,1.439217518344198368e+02,-8.289145695461483387e-02
1.191324250000000000e+06,8.394020351722043748e-07,1.009352706484172740e-04,1.153133266305917835e-03,7.533021108886718764e+01,-8.606087030468751209e+02,5.703800451310271679e-04,4.992611514208401434e-05,1.739886472584731337e+03,1.522945501090680125e+02,-8.753131454768027508e-02
