# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,-2.448217066532562528e-07,1.897921410139556979e-03,-6.796627428293228190e-02,-5.268921979687499970e+02,5.862466456797216143e-04,-7.562268044834511912e-08,1.705766661062826870e+03,-2.200347721894977959e-01,1.289946492754166123e-04
1.888121750000000000e+06,5.296268633100592834e-07,2.531091341325741061e-07,1.797121096242250112e-03,7.837059153556824587e-02,-5.564455184765625972e+02,5.844956071593471929e-04,8.232120659077345815e-08,1.710876810560979948e+03,2.409623642135557409e-01,-1.408414461673289690e-04
1.782501875000000000e+06,5.610092275499009038e-07,6.552495147117604406e-07,1.695753214768382913e-03,2.278669529724121345e-01,-5.897083620312500898e+02,5.847845484201282971e-04,2.259643609848985774e-07,1.710031247220740624e+03,6.607666346287197623e-01,-3.864061757366379695e-04
1.682790250000000000e+06,5.942511254744909383e-07,9.853317125935231454e-07,1.603089230147615191e-03,3.834130615234375150e-01,-6.237953592382813213e+02,5.839837115703594341e-04,3.589430081788765396e-07,1.712375880351021806e+03,1.052504269294322725e+00,-6.146455818325173136e-04
1.588656500000000000e+06,6.294626937918927447e-07,1.236413604348683378e-06,1.519357749169461752e-03,5.356034884262085294e-01,-6.581724010156250415e+02,5.816989483171928522e-04,4.733713924372663892e-07,1.719101161632621142e+03,1.398959570026274024e+00,-8.137738495259288270e-04
1.499788375000000000e+06,6.667607354937658813e-07,1.517357200741574841e-06,1.435556771480000484e-03,7.362860982131959053e-01,-6.965930589843750340e+02,5.812162300742134378e-04,6.143349043463907067e-07,1.720528146062440555e+03,1.818566721547986154e+00,-1.056981674905995696e-03
1.415891625000000000e+06,7.062687442621181909e-07,1.628174518412850242e-06,1.360480332929507163e-03,8.796619270706177440e-01,-7.350334610156251074e+02,5.789828907837517953e-04,6.929061498016963909e-07,1.727164280110587242e+03,2.067008836455294762e+00,-1.196764465464135235e-03
1.336687875000000000e+06,7.481178057368104391e-07,1.745474511480233195e-06,1.285223289577712121e-03,1.056709317169189477e+00,-7.780734784765626273e+02,5.786010643206237905e-04,7.858038507992016834e-07,1.728303346131913941e+03,2.347225935946476660e+00,-1.358109929717929735e-03
1.261914750000000000e+06,7.924465578994143479e-07,1.819991637517530979e-06,1.209684169569136443e-03,1.243725145072937188e+00,-8.266601825390625891e+02,5.803441936976275976e-04,8.731383000471436000e-07,1.723111469521581967e+03,2.592452264756689662e+00,-1.504518024870717292e-03
1.191324250000000000e+06,8.394020351722043748e-07,1.879729791900977029e-06,1.143447446423616516e-03,1.437678682098388894e+00,-8.745459187304688840e+02,5.796171231229936159e-04,9.528409702063286224e-07,1.725272179959998994e+03,2.836199884788839665e+00,-1.643914460415514100e-03
1.124682625000000000e+06,8.891397250846655899e-07,1.938023642351487242e-06,1.077026268422666497e-03,1.670725391616821431e+00,-9.284794544140626158e+02,5.809394795511036227e-04,1.045354676255278467e-06,1.721344128423491611e+03,3.097422704827162754e+00,-1.799420960446744197e-03
1.061768875000000000e+06,9.418245566861243833e-07,1.965455408178214982e-06,1.019985811859742790e-03,1.889179921112060789e+00,-9.804021539062500779e+02,5.791123868156691301e-04,1.115917064115365087e-06,1.726774128247760927e+03,3.327396822195675785e+00,-1.926943870517762664e-03
1.002374437500000000e+06,9.976311870981846032e-07,1.966568212569981003e-06,9.628396911013000501e-04,2.121286037979126071e+00,-1.038590159492187695e+03,5.791656465451469312e-04,1.182926670799652792e-06,1.726614543372017351e+03,3.526553078085769677e+00,-2.042466914009965530e-03
9.463025000000000000e+05,1.056744539933055151e-06,2.002181560810057517e-06,9.113369622451395835e-04,2.410701241149902696e+00,-1.097283677460937497e+03,5.776669404220767003e-04,1.269117949033140425e-06,1.731092959219324939e+03,3.803162328079417787e+00,-2.196971750029264210e-03
8.933671875000000000e+05,1.119360565277085465e-06,2.024695395668950824e-06,8.607068171466788088e-04,2.733045151138306039e+00,-1.161829378476562624e+03,5.774321473412259275e-04,1.358330370739676636e-06,1.731795624854833022e+03,4.073813008135697800e+00,-2.352363610155894669e-03
8.433930000000000000e+05,1.185686862470995129e-06,2.051928351184503924e-06,8.128976076862270018e-04,3.105186819305420176e+00,-1.230159393906250216e+03,5.771915798770024374e-04,1.456955655443077594e-06,1.732515967388548688e+03,4.373242827572222602e+00,-2.524215020173284276e-03
7.962143125000000000e+05,1.255943260879274967e-06,2.054185246043278526e-06,7.678926645252426124e-04,3.483657577819824436e+00,-1.302256018476562531e+03,5.768394588086168560e-04,1.543099915341486100e-06,1.733572190063679272e+03,4.637468985305930325e+00,-2.675094242908673901e-03
7.516748125000000000e+05,1.330362522956028934e-06,2.044446420472927826e-06,7.257087735888434130e-04,3.881928566131592095e+00,-1.377952286093750217e+03,5.762259134207035286e-04,1.623327495754023314e-06,1.735416683482164899e+03,4.888967249256714886e+00,-2.817171977076339800e-03
7.096267500000000000e+05,1.409191522162883532e-06,2.044421026273914046e-06,6.854248817964670240e-04,4.351577710418701450e+00,-1.458936099492187623e+03,5.759633594104264162e-04,1.717929467713269243e-06,1.736206109650191138e+03,5.178592681390427721e+00,-2.982706173308999863e-03
6.699308750000000000e+05,1.492691316846682028e-06,2.024117243063009723e-06,6.470133922237732019e-04,4.835093470611572464e+00,-1.545547936445312644e+03,5.760246656937235196e-04,1.802036050989535626e-06,1.736019779638457749e+03,5.430965745836284775e+00,-3.128400845160493604e-03
6.324555625000000000e+05,1.581138753918383044e-06,2.016939552882705763e-06,6.105017689033874137e-04,5.411457964935303622e+00,-1.637979013906250202e+03,5.763243341740056534e-04,1.904026170099918297e-06,1.735115153257561587e+03,5.732370583786355667e+00,-3.303740718893623338e-03
5.970765000000000000e+05,1.674827262503213635e-06,1.994159719674175543e-06,5.768446700370185665e-04,5.992899312286377622e+00,-1.733548216953125120e+03,5.758302971531562963e-04,1.990653019082492745e-06,1.736602006086553274e+03,6.003456302059499983e+00,-3.457013340430452157e-03
5.636765625000000000e+05,1.774067020925674973e-06,1.979416208944642041e-06,5.451000133295375288e-04,6.661607035064697868e+00,-1.834501540000000205e+03,5.752765423401057666e-04,2.088995935953557508e-06,1.738271492592619779e+03,6.312167829473398939e+00,-3.631289966136903337e-03
5.321450000000000000e+05,1.879187063676253656e-06,1.958922495193086208e-06,5.142797915317206744e-04,7.406483062133789375e+00,-1.944438626093750145e+03,5.756424766588240805e-04,2.192656634158410210e-06,1.737164180582868767e+03,6.616962297997570630e+00,-3.809059829783843255e-03
5.023772812500000000e+05,1.990535872784354564e-06,1.939330140655406428e-06,4.853919815914076587e-04,8.231132998657226807e+00,-2.060157717968750148e+03,5.757833051223975760e-04,2.300478706815581219e-06,1.736736769231458766e+03,6.938940260019084150e+00,-3.995389734904792635e-03
4.742747500000000000e+05,2.108482477719929384e-06,1.914241694389779229e-06,4.583953453172996619e-04,9.109799108886718955e+00,-2.181484982031250183e+03,5.755868173394338740e-04,2.403628866976359261e-06,1.737327074766916894e+03,7.255012419484861752e+00,-4.175962330212465955e-03
4.477442187500000000e+05,2.233418005466988388e-06,1.860162809338888221e-06,4.333198382020082796e-04,9.906626951904298650e+00,-2.307721650156250234e+03,5.748334324355759174e-04,2.467654785938487403e-06,1.739602318925753252e+03,7.467794574401223073e+00,-4.292817095698497724e-03
4.226978125000000000e+05,2.365756269438938768e-06,1.841420316842170411e-06,4.092167577760762696e-04,1.099606545623779397e+01,-2.443643210156250007e+03,5.746407281855887188e-04,2.585805912535345296e-06,1.740182522006524550e+03,7.830587066988875300e+00,-4.499865369271600739e-03
3.990524687500000000e+05,2.505936131988909165e-06,1.820474411249499281e-06,3.860650672668701857e-04,1.221388731262207195e+01,-2.590179349843750060e+03,5.750272765068914754e-04,2.711518164702695179e-06,1.739009271012731006e+03,8.200228788418005621e+00,-4.715460075519040985e-03
